lncORF ID,lncORF transcript,,,,Variant,,Trait type,-log10(GWAS P value)
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17662370,stem thickness,3.80134
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17662370,stem thickness,4.74232
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17663748,stem thickness,3.77469
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17663748,stem thickness,4.69037
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17664876,stem thickness,3.74958
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17665654,stem thickness,4.33161
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17665654,stem thickness,5.14813
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17665703,stem thickness,4.36151
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17665703,stem thickness,5.16115
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17665905,stem thickness,3.76955
OsLncORF02891,Chr4,17659005,17666277,-,Chr4,17665988,stem thickness,4.39362
OsLncORF02892,Chr4,17674101,17676810,-,Chr4,17674156,stem thickness,3.26201
OsLncORF02892,Chr4,17674101,17676810,-,Chr4,17674179,stem thickness,3.24718
OsLncORF02892,Chr4,17674101,17676810,-,Chr4,17675584,stem thickness,3.59688
OsLncORF02892,Chr4,17674101,17676810,-,Chr4,17675608,stem thickness,3.73283
OsLncORF02892,Chr4,17674101,17676810,-,Chr4,17675653,stem thickness,2.79048
OsLncORF02892,Chr4,17674101,17676810,-,Chr4,17675653,stem thickness,3.54975
OsLncORF02892,Chr4,17674101,17676810,-,Chr4,17675819,stem thickness,2.6038
OsLncORF02892,Chr4,17674101,17676810,-,Chr4,17675819,stem thickness,3.4168
OsLncORF02892,Chr4,17674101,17676810,-,Chr4,17675819,stem thickness,3.88941
OsLncORF02893,Chr4,17674101,17676810,-,Chr4,17674156,stem thickness,3.26201
OsLncORF02893,Chr4,17674101,17676810,-,Chr4,17674179,stem thickness,3.24718
OsLncORF02893,Chr4,17674101,17676810,-,Chr4,17675584,stem thickness,3.59688
OsLncORF02893,Chr4,17674101,17676810,-,Chr4,17675608,stem thickness,3.73283
OsLncORF02893,Chr4,17674101,17676810,-,Chr4,17675653,stem thickness,2.79048
OsLncORF02893,Chr4,17674101,17676810,-,Chr4,17675653,stem thickness,3.54975
OsLncORF02893,Chr4,17674101,17676810,-,Chr4,17675819,stem thickness,2.6038
OsLncORF02893,Chr4,17674101,17676810,-,Chr4,17675819,stem thickness,3.4168
OsLncORF02893,Chr4,17674101,17676810,-,Chr4,17675819,stem thickness,3.88941
OsLncORF02894,Chr4,17677645,17680504,+,Chr4,17679099,stem diameter,1.10513
OsLncORF02894,Chr4,17677645,17680504,+,Chr4,17679099,stem thickness,3.22988
OsLncORF02894,Chr4,17677645,17680504,+,Chr4,17680127,stem thickness,3.25885
OsLncORF02894,Chr4,17677645,17680504,+,Chr4,17680487,stem thickness,3.22113
OsLncORF02895,Chr4,17677645,17680504,+,Chr4,17679099,stem diameter,1.10513
OsLncORF02895,Chr4,17677645,17680504,+,Chr4,17679099,stem thickness,3.22988
OsLncORF02895,Chr4,17677645,17680504,+,Chr4,17680127,stem thickness,3.25885
OsLncORF02895,Chr4,17677645,17680504,+,Chr4,17680487,stem thickness,3.22113
OsLncORF02896,Chr4,17696194,17697159,+,Chr4,17696511,stem thickness,3.25337
OsLncORF02897,Chr4,17698851,17702608,-,Chr4,17700469,stem thickness,2.92812
OsLncORF02898,Chr4,17698851,17702608,-,Chr4,17700469,stem thickness,2.92812
OsLncORF02899,Chr4,17707080,17708572,-,Chr4,17707103,days to heading,46.5607
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18041747,stem thickness,4.63451
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18041747,stem thickness,5.67162
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18041794,stem thickness,4.25964
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18041794,stem thickness,5.11748
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18041843,breaking strength of the basal internode,2.61439
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18041843,stem thickness,4.17718
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18041843,stem thickness,5.18509
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18041888,stem thickness,4.38828
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042009,stem thickness,4.33161
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042009,stem thickness,5.14813
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042084,stem thickness,3.49485
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042084,stem thickness,4.33913
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042136,stem thickness,4.33161
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042136,stem thickness,5.14813
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042158,breaking strength of the basal internode,2.63451
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042158,stem thickness,4.16368
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042158,stem thickness,4.96658
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042613,stem thickness,3.95861
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042613,stem thickness,4.98297
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042700,breaking strength of the basal internode,3.05849
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042700,stem thickness,5.2644
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042700,stem thickness,6.21396
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042715,breaking strength of the basal internode,2.92445
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042715,stem thickness,5.12033
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042715,stem thickness,5.95468
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042831,stem thickness,3.6925
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042831,stem thickness,4.59007
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042883,breaking strength of the basal internode,2.54975
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042883,stem thickness,4.05061
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042883,stem thickness,4.95468
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042979,stem thickness,4.33161
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18042979,stem thickness,5.14813
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043210,stem thickness,4.22988
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043210,stem thickness,5.25806
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043315,stem thickness,4.33161
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043315,stem thickness,5.14813
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043650,stem thickness,3.86967
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043650,stem thickness,4.62893
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043767,stem thickness,4.34294
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043767,stem thickness,5.15614
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043806,stem thickness,4.33161
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043806,stem thickness,5.14813
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043871,breaking strength of the basal internode,2.40012
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043871,stem thickness,4.31876
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043871,stem thickness,4.93181
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043875,stem thickness,4.38616
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043875,stem thickness,5.26922
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043954,stem thickness,4.5391
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18043954,stem thickness,5.26122
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044088,breaking strength of the basal internode,2.54975
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044088,stem thickness,4.05061
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044088,stem thickness,4.95468
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044098,stem thickness,4.90658
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044098,stem thickness,5.70333
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044102,stem thickness,4.90658
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044102,stem thickness,5.70333
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044173,breaking strength of the basal internode,2.73755
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044173,stem thickness,4.35164
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044173,stem thickness,5.27572
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044186,breaking strength of the basal internode,2.73755
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044186,stem thickness,4.35164
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044186,stem thickness,5.27572
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044254,stem thickness,4.36151
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044254,stem thickness,5.16115
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044367,stem thickness,3.95861
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044367,stem thickness,4.78516
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044418,stem thickness,4.47237
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044418,stem thickness,5.34775
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044491,stem thickness,4.19723
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044491,stem thickness,5.03292
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044541,breaking strength of the basal internode,2.54975
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044541,stem thickness,4.05061
OsLncORF02902,Chr4,18041718,18044565,+,Chr4,18044541,stem thickness,4.95468
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18041747,stem thickness,4.63451
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18041747,stem thickness,5.67162
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18041794,stem thickness,4.25964
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18041794,stem thickness,5.11748
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18041843,breaking strength of the basal internode,2.61439
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18041843,stem thickness,4.17718
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18041843,stem thickness,5.18509
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18041888,stem thickness,4.38828
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042009,stem thickness,4.33161
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042009,stem thickness,5.14813
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042084,stem thickness,3.49485
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042084,stem thickness,4.33913
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042136,stem thickness,4.33161
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042136,stem thickness,5.14813
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042158,breaking strength of the basal internode,2.63451
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042158,stem thickness,4.16368
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042158,stem thickness,4.96658
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042613,stem thickness,3.95861
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042613,stem thickness,4.98297
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042700,breaking strength of the basal internode,3.05849
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042700,stem thickness,5.2644
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042700,stem thickness,6.21396
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042715,breaking strength of the basal internode,2.92445
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042715,stem thickness,5.12033
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042715,stem thickness,5.95468
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042831,stem thickness,3.6925
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042831,stem thickness,4.59007
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042883,breaking strength of the basal internode,2.54975
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042883,stem thickness,4.05061
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042883,stem thickness,4.95468
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042979,stem thickness,4.33161
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18042979,stem thickness,5.14813
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043210,stem thickness,4.22988
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043210,stem thickness,5.25806
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043315,stem thickness,4.33161
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043315,stem thickness,5.14813
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043650,stem thickness,3.86967
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043650,stem thickness,4.62893
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043767,stem thickness,4.34294
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043767,stem thickness,5.15614
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043806,stem thickness,4.33161
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043806,stem thickness,5.14813
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043871,breaking strength of the basal internode,2.40012
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043871,stem thickness,4.31876
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043871,stem thickness,4.93181
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043875,stem thickness,4.38616
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043875,stem thickness,5.26922
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043954,stem thickness,4.5391
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18043954,stem thickness,5.26122
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044088,breaking strength of the basal internode,2.54975
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044088,stem thickness,4.05061
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044088,stem thickness,4.95468
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044098,stem thickness,4.90658
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044098,stem thickness,5.70333
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044102,stem thickness,4.90658
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044102,stem thickness,5.70333
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044173,breaking strength of the basal internode,2.73755
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044173,stem thickness,4.35164
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044173,stem thickness,5.27572
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044186,breaking strength of the basal internode,2.73755
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044186,stem thickness,4.35164
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044186,stem thickness,5.27572
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044254,stem thickness,4.36151
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044254,stem thickness,5.16115
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044367,stem thickness,3.95861
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044367,stem thickness,4.78516
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044418,stem thickness,4.47237
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044418,stem thickness,5.34775
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044491,stem thickness,4.19723
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044491,stem thickness,5.03292
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044541,breaking strength of the basal internode,2.54975
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044541,stem thickness,4.05061
OsLncORF02903,Chr4,18041718,18044565,+,Chr4,18044541,stem thickness,4.95468
OsLncORF02904,Chr4,18100902,18104688,+,Chr4,18103644,breaking strength of the basal internode,10.7595
OsLncORF02904,Chr4,18100902,18104688,+,Chr4,18103644,stem diameter,10.2684
OsLncORF02904,Chr4,18100902,18104688,+,Chr4,18103644,stem thickness,11.8182
OsLncORF02904,Chr4,18100902,18104688,+,Chr4,18103644,stem thickness,13.3439
OsLncORF02904,Chr4,18100902,18104688,+,Chr4,18103644,stem thickness,14.3516
OsLncORF02904,Chr4,18100902,18104688,+,Chr4,18103644,the contents of globulin,5.34679
OsLncORF02909,Chr4,18146483,18148325,-,Chr4,18147726,stem thickness,2.65956
OsLncORF02909,Chr4,18146483,18148325,-,Chr4,18147726,stem thickness,3.22768
OsLncORF02910,Chr4,18146483,18148325,-,Chr4,18147726,stem thickness,2.65956
OsLncORF02910,Chr4,18146483,18148325,-,Chr4,18147726,stem thickness,3.22768
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18230869,stem thickness,2.9393
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18230869,stem thickness,3.61261
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18231168,stem thickness,3.27984
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18231715,stem thickness,3.44009
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18236994,stem thickness,3
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18236994,stem thickness,3.59346
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18238590,stem thickness,3
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18238590,stem thickness,3.59346
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18239507,stem thickness,3.03152
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18239507,stem thickness,3.6517
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18239690,stem thickness,3.34008
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18241394,stem thickness,3.31158
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18243195,stem thickness,2.9914
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18243195,stem thickness,3.51428
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18243633,stem thickness,2.78781
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18243897,stem thickness,2.81531
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18243897,stem thickness,3.61261
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18245417,stem thickness,3.08566
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18245417,stem thickness,3.80688
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18245417,stem thickness,4.18509
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18245453,stem thickness,2.81531
OsLncORF02918,Chr4,18227017,18247795,-,Chr4,18245453,stem thickness,3.61261
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18230869,stem thickness,2.9393
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18230869,stem thickness,3.61261
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18231168,stem thickness,3.27984
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18231715,stem thickness,3.44009
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18236994,stem thickness,3
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18236994,stem thickness,3.59346
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18238590,stem thickness,3
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18238590,stem thickness,3.59346
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18239507,stem thickness,3.03152
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18239507,stem thickness,3.6517
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18239690,stem thickness,3.34008
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18241394,stem thickness,3.31158
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18243195,stem thickness,2.9914
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18243195,stem thickness,3.51428
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18243633,stem thickness,2.78781
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18243897,stem thickness,2.81531
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18243897,stem thickness,3.61261
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18245417,stem thickness,3.08566
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18245417,stem thickness,3.80688
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18245417,stem thickness,4.18509
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18245453,stem thickness,2.81531
OsLncORF02919,Chr4,18227017,18247795,-,Chr4,18245453,stem thickness,3.61261
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397188,breaking strength of the basal internode,14.1752
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397188,stem diameter,10.3768
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397188,stem diameter,10.6778
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397188,stem diameter,11.2373
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397188,stem thickness,15.3546
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397188,stem thickness,16.0555
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397188,stem thickness,16.5751
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397243,breaking strength of the basal internode,14.1752
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397243,stem diameter,10.3768
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397243,stem diameter,10.6778
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397243,stem diameter,11.2373
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397243,stem thickness,15.3546
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397243,stem thickness,16.0555
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397243,stem thickness,16.5751
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397494,stem thickness,3.23582
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397494,stem thickness,3.81816
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397494,stem thickness,4.31695
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397505,stem thickness,3.41229
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397505,stem thickness,3.97881
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397505,stem thickness,4.31695
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397534,breaking strength of the basal internode,14.1752
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397534,stem diameter,10.3768
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397534,stem diameter,10.6778
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397534,stem diameter,11.2373
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397534,stem thickness,15.3546
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397534,stem thickness,16.0555
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397534,stem thickness,16.5751
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397535,breaking strength of the basal internode,14.1752
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397535,stem diameter,10.3768
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397535,stem diameter,10.6778
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397535,stem diameter,11.2373
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397535,stem thickness,15.3546
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397535,stem thickness,16.0555
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18397535,stem thickness,16.5751
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18398310,breaking strength of the basal internode,14.1752
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18398310,stem diameter,10.3768
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18398310,stem diameter,10.6778
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18398310,stem diameter,11.2373
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18398310,stem thickness,15.3546
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18398310,stem thickness,16.0555
OsLncORF02921,Chr4,18396835,18398623,-,Chr4,18398310,stem thickness,16.5751
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397188,breaking strength of the basal internode,14.1752
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397188,stem diameter,10.3768
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397188,stem diameter,10.6778
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397188,stem diameter,11.2373
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397188,stem thickness,15.3546
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397188,stem thickness,16.0555
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397188,stem thickness,16.5751
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397243,breaking strength of the basal internode,14.1752
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397243,stem diameter,10.3768
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397243,stem diameter,10.6778
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397243,stem diameter,11.2373
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397243,stem thickness,15.3546
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397243,stem thickness,16.0555
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397243,stem thickness,16.5751
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397494,stem thickness,3.23582
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397494,stem thickness,3.81816
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397494,stem thickness,4.31695
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397505,stem thickness,3.41229
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397505,stem thickness,3.97881
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397505,stem thickness,4.31695
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397534,breaking strength of the basal internode,14.1752
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397534,stem diameter,10.3768
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397534,stem diameter,10.6778
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397534,stem diameter,11.2373
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397534,stem thickness,15.3546
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397534,stem thickness,16.0555
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397534,stem thickness,16.5751
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397535,breaking strength of the basal internode,14.1752
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397535,stem diameter,10.3768
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397535,stem diameter,10.6778
OsLncORF02922,Chr4,18396835,18398623,-,Chr4,18397535,stem diameter,11.2373
