ORF ID,Database,Subject ID,Identity,Alignment length,Mismatches,Gap openings,LncORF start,LncORF end,Subject start,Subject end,E-value,Bitscore
OsLncORF03401,NR,KAB2037613.1,1,36,0,0,1,36,1,36,9.28E-16,80
OsLncORF03402,NR,KAD2393245.1,0.958,24,1,0,1,24,1,24,2.59E-08,58
OsLncORF03403,eggNOG,2S6GN,0,17,17,0,2,18,55,71,2.04E-05,40
OsLncORF03418,NR,KAF2928999.1,1,31,0,0,1,31,1,31,4.83E-10,67
OsLncORF03419,NR,KAF2928999.1,1,26,0,0,1,26,6,31,7.90E-07,58
OsLncORF03428,NR,KAG5607538.1,0.464,71,38,0,21,91,3,73,5.88E-08,61
OsLncORF03446,NR,BAS92335.1,1,116,0,0,1,116,1,116,1.19E-70,243
OsLncORF03459,NR,KAF2929216.1,1,64,0,0,1,64,1,64,1.90E-33,133
OsLncORF03468,NR,KAF2929218.1,1,61,0,0,1,61,1,61,7.95E-33,131
OsLncORF03514,Swiss-Prot,P00412,1,18,0,0,1,18,109,126,1.24E-05,41
OsLncORF03517,eggNOG,33CC6,0.606,33,13,0,52,84,2,34,2.64E-04,41
OsLncORF03517,NR,RYR26010.1,0.777,36,8,0,49,84,54,89,5.09E-06,55
OsLncORF03522,Pfam-A,PF06376.17,0.625,24,9,0,55,78,38,61,9.21E-05,38
OsLncORF03540,NR,KAF2929515.1,1,28,0,0,1,28,30,57,3.78E-10,64
OsLncORF03578,NR,AAV24922.1,1,67,0,0,1,67,1,67,5.87E-37,143
OsLncORF03596,NR,KAF2929639.1,1,33,0,0,3,35,76,108,1.68E-11,68
OsLncORF03601,NR,AAU90193.1,1,50,0,0,1,50,27,76,6.07E-24,105
OsLncORF03603,eggNOG,2QTEM,0,37,37,0,1,37,467,503,1.26E-10,57
OsLncORF03603,NR,KAF0897853.1,0.837,37,6,0,1,37,143,179,7.48E-08,59
OsLncORF03607,NR,BAG88434.1,1,68,0,0,1,68,1,68,7.14E-35,137
OsLncORF03608,NR,KAF2929686.1,1,50,0,0,1,50,1,50,4.45E-24,105
OsLncORF03647,NR,KAB8089334.1,0.833,24,4,0,2,25,48,71,2.20E-04,47
OsLncORF03651,NR,BAH94471.1,0.88,75,9,0,1,75,1,75,1.06E-31,129
OsLncORF03658,NR,KAF2929903.1,1,52,0,0,1,52,1,52,1.36E-25,109
OsLncORF03660,NR,KAF2950306.1,0.742,35,9,0,24,58,5,39,3.31E-05,52
OsLncORF03748,NR,AAU10842.1,1,38,0,0,1,38,1,38,3.99E-16,81
OsLncORF03767,NR,KAF2930524.1,1,39,0,0,1,39,1,39,3.31E-17,85
OsLncORF03794,NR,KAF2930783.1,1,74,0,0,1,74,1,74,1.18E-40,154
OsLncORF03797,NR,AAT85265.1,1,32,0,0,1,32,6,37,1.54E-12,71
OsLncORF03845,NR,KAF2931267.1,0.962,27,1,0,1,27,54,80,3.31E-09,61
OsLncORF03852,NR,KAG6553419.1,0.812,32,6,0,1,32,57,88,9.14E-04,46
OsLncORF03868,eggNOG,2SAMP,0.636,22,8,0,1,22,93,114,1.17E-05,41
OsLncORF03881,eggNOG,2R4HD,0.791,67,9,1,1,67,14,75,1.23E-18,81
OsLncORF03881,NR,EEC79486.1,1,67,0,0,1,67,1,67,1.41E-20,96
OsLncORF03889,NR,KAF2912970.1,1,22,0,0,1,22,190,211,4.78E-07,55
OsLncORF03973,NR,KAF2932050.1,1,33,0,0,1,33,1,33,3.90E-13,73
OsLncORF03994,eggNOG,2R65W,0.487,82,33,3,1,75,3,82,2.58E-23,95
OsLncORF03994,NR,KAF2932218.1,1,77,0,0,1,77,1,77,2.17E-38,148
OsLncORF03994,Swiss-Prot,Q1G3U8,0.454,55,29,1,1,55,1,54,1.54E-05,45
OsLncORF04014,eggNOG,2QRMZ,0.333,84,41,2,2,73,679,759,1.67E-04,41
OsLncORF04014,NR,EAY99381.1,1,73,0,0,1,73,273,345,7.50E-40,152
OsLncORF04035,NR,KAF2924984.1,1,91,0,0,1,91,127,217,6.71E-43,162
OsLncORF04067,NR,KAF2925141.1,1,27,0,0,1,27,39,65,7.26E-11,66
OsLncORF04079,NR,BAD62207.1,1,22,0,0,1,22,118,139,3.13E-07,55
OsLncORF04088,NR,KAF2925372.1,1,68,0,0,1,68,1,68,2.76E-35,138
OsLncORF04089,NR,KAF2925372.1,1,33,0,0,1,33,36,68,6.75E-14,75
OsLncORF04103,NR,KAF2925427.1,1,128,0,0,1,128,102,229,1.57E-77,263
OsLncORF04117,NR,BAD35281.1,0.866,30,3,1,7,36,69,97,1.33E-06,55
OsLncORF04142,NR,BAH94799.1,0.857,28,4,0,1,28,18,45,1.09E-06,54
OsLncORF04178,NR,KAF2908887.1,0.807,26,5,0,2,27,42,67,9.59E-06,51
OsLncORF04189,NR,BAH92545.1,0.685,54,15,2,1,54,54,105,1.66E-05,54
OsLncORF04270,NR,KAF2926288.1,1,27,0,0,1,27,1,27,9.63E-11,66
OsLncORF04322,NR,KAF2926567.1,1,80,0,0,1,80,1,80,3.18E-45,169
OsLncORF04325,NR,KAF2926612.1,1,53,0,0,1,53,81,133,8.85E-24,104
OsLncORF04327,NR,KAF2926612.1,1,43,0,0,1,43,91,133,4.10E-17,85
OsLncORF04342,NR,BAD81554.1,1,35,0,0,1,35,1,35,4.80E-11,70
OsLncORF04348,NR,KAF2940996.1,0.5,66,33,0,1,66,20,85,6.59E-05,53
OsLncORF04352,NR,XP_052134444.1,0.68,47,15,0,1,47,80,126,3.65E-08,60
OsLncORF04353,NR,BAF24711.1,0.64,50,18,0,43,92,31,80,3.26E-08,62
OsLncORF04374,NR,KAF2926852.1,1,68,0,0,1,68,1,68,2.54E-34,136
OsLncORF04375,NR,BAH01149.1,1,60,0,0,1,60,14,73,1.92E-28,118
OsLncORF04376,NR,WCK11569.1,1,54,0,0,3,56,212,265,2.85E-27,115
OsLncORF04376,Pfam-B,Pfam-B_108491,0.519,52,25,0,5,56,144,195,3.73E-24,95
OsLncORF04376,Swiss-Prot,P0C8K6,1,54,0,0,3,56,157,210,2.17E-30,115
OsLncORF04422,NR,KAB8105099.1,0.493,83,42,0,12,94,64,146,9.61E-06,56
OsLncORF04445,NR,KAF2927212.1,1,98,0,0,1,98,1,98,3.76E-54,194
OsLncORF04455,NR,BAD68614.1,0.975,41,1,0,1,41,31,71,6.95E-19,90
OsLncORF04457,NR,AAD22151.1,0.735,34,9,0,1,34,124,157,5.42E-07,57
OsLncORF04458,NR,BAD35792.1,0.625,88,14,2,1,69,163,250,3.02E-25,110
OsLncORF04459,NR,TVU01035.1,0.784,51,11,0,10,60,74,124,2.78E-17,86
OsLncORF04464,NR,KAF2927336.1,1,45,0,0,1,45,21,65,7.95E-20,93
OsLncORF04465,NR,KAF2927342.1,1,71,0,0,1,71,1,71,2.55E-36,141
OsLncORF04466,NR,BAD34179.1,1,29,0,0,1,29,2,30,7.63E-07,56
OsLncORF04503,CDD,CHL00060,0.431,51,28,1,26,75,444,494,2.05E-13,64
OsLncORF04503,eggNOG,KOG1350,0.487,39,20,0,32,70,1303,1341,2.53E-08,52
OsLncORF04503,NR,KAF2952736.1,0.882,51,5,1,26,75,210,260,3.10E-17,87
OsLncORF04503,Swiss-Prot,Q6ENG7,0.882,51,5,1,26,75,448,498,2.35E-20,87
OsLncORF04542,NR,KAF2927572.1,1,21,0,0,1,21,33,53,2.41E-05,49
OsLncORF04553,NR,KAH0470433.1,0.676,34,11,0,1,34,1,34,1.00E-05,52
OsLncORF04577,NR,KAF2927747.1,0.975,40,1,0,1,40,1,40,2.12E-20,94
OsLncORF04638,CDD,cd01803,0.616,73,26,1,1,73,1,71,2.70E-22,90
OsLncORF04638,eggNOG,KOG0004,0.638,72,24,1,1,72,1453,1522,9.38E-22,91
OsLncORF04638,NR,KAF2928059.1,1,85,0,0,1,85,1,85,3.91E-51,185
OsLncORF04638,Pfam-A,PF00240.28,0.3,70,47,1,4,73,52,119,1.99E-14,66
OsLncORF04638,Swiss-Prot,P42739,0.657,73,23,1,1,73,42,112,6.65E-23,95
OsLncORF04669,CDD,pfam09072,0.403,62,37,0,2,63,1,62,1.30E-19,81
OsLncORF04669,eggNOG,KOG4766,0.531,64,28,1,2,63,746,809,3.22E-22,91
OsLncORF04669,NR,EAZ02143.1,1,63,0,0,1,63,1,63,3.87E-27,115
OsLncORF04669,Pfam-A,PF09072.15,0.539,63,29,0,1,63,15,77,1.99E-19,79
OsLncORF04669,Swiss-Prot,Q4SUE2,0.6,60,24,0,4,63,5,64,1.55E-14,70
OsLncORF04733,eggNOG,2SWWZ,0.928,28,2,0,2,29,213,240,7.48E-10,54
OsLncORF04733,NR,XP_025881763.1,1,35,0,0,3,37,118,152,2.78E-12,70
OsLncORF04749,eggNOG,2S5MN,0.033,30,29,0,30,59,201,230,2.81E-08,51
OsLncORF04749,Pfam-B,Pfam-B_138311,0,36,36,0,17,52,136,171,8.61E-11,57
OsLncORF04787,NR,KAF2921423.1,1,56,0,0,1,56,27,82,1.97E-27,115
OsLncORF04856,NR,KAF2921909.1,1,84,0,0,1,84,1,84,6.42E-50,181
OsLncORF04857,NR,BAC82970.1,1,21,0,0,5,25,24,44,9.51E-05,48
OsLncORF04897,NR,EEC81734.1,0.916,48,4,0,1,48,4,51,1.56E-14,79
OsLncORF04911,NR,BAC21588.1,0.973,38,1,0,1,38,75,112,1.35E-17,86
OsLncORF04943,NR,BAK07643.1,0.658,41,13,1,2,41,1,41,3.64E-06,53
OsLncORF04961,NR,ABB47398.1,0.787,33,7,0,14,46,37,69,2.29E-07,57
OsLncORF04962,NR,ABB47398.1,0.787,33,7,0,6,38,37,69,1.49E-07,57
OsLncORF04968,NR,KAF2922198.1,1,44,0,0,1,44,28,71,1.12E-20,95
OsLncORF04969,NR,KAF2922198.1,0.892,28,3,0,1,28,28,55,1.88E-06,53
OsLncORF04971,NR,KAF2922198.1,0.75,32,8,0,1,32,1,32,3.34E-05,50
OsLncORF04976,NR,KAF2922212.1,1,57,0,0,1,57,37,93,1.58E-35,138
OsLncORF04998,NR,KAF0909284.1,0.648,54,19,0,1,54,1,54,6.47E-13,75
OsLncORF05002,NR,KAF2922382.1,1,77,0,0,1,77,1,77,5.48E-45,167
OsLncORF05004,NR,KAF2922382.1,1,52,0,0,1,52,26,77,2.03E-26,112
OsLncORF05005,NR,YP_009242031.1,0.88,25,3,0,1,25,628,652,8.63E-04,46
OsLncORF05011,NR,KAF2922443.1,1,40,0,0,1,40,85,124,6.10E-16,81
OsLncORF05019,NR,EEE67029.1,0.389,272,65,14,1,186,1,257,2.75E-11,76
OsLncORF05024,NR,XP_015649907.1,0.567,74,25,4,4,72,13,84,7.53E-10,68
OsLncORF05048,eggNOG,2SG8B,0.123,73,64,0,13,85,304,376,9.81E-36,132
OsLncORF05048,NR,BAH91146.1,0.867,83,9,1,3,85,80,160,1.64E-40,155
OsLncORF05048,Pfam-B,Pfam-B_009609,0.363,44,28,0,29,72,2,45,4.15E-04,40
OsLncORF05057,NR,KAF2922553.1,1,61,0,0,1,61,1,61,7.95E-37,143
OsLncORF05065,NR,BAD16521.1,0.814,70,13,0,1,70,1,70,9.24E-25,108
OsLncORF05072,NR,BAS94294.1,0.685,35,11,0,2,36,84,118,1.22E-04,49
OsLncORF05079,NR,BAT01312.1,1,24,0,0,1,24,1,24,3.95E-07,55
OsLncORF05105,NR,BAH95712.1,0.722,36,10,0,5,40,18,53,1.26E-06,55
OsLncORF05109,NR,ABA97246.2,0.8,45,5,1,1,41,36,80,3.57E-12,72
OsLncORF05129,NR,KAF2922819.1,1,82,0,0,1,82,1,82,3.43E-44,165
OsLncORF05145,NR,BAT15172.1,0.896,29,3,0,9,37,313,341,3.27E-06,54
OsLncORF05172,NR,KAF2923166.1,1,58,0,0,1,58,1,58,6.06E-31,125
OsLncORF05179,eggNOG,33CC6,0.805,36,7,0,1,36,3,38,1.10E-12,62
OsLncORF05179,NR,KAB2037613.1,0.972,36,1,0,1,36,1,36,3.31E-15,79
OsLncORF05202,NR,KAF2923601.1,1,58,0,0,1,58,1,58,5.76E-31,125
OsLncORF05219,eggNOG,2S8T2,0.703,27,8,0,1,27,145,171,5.45E-05,42
OsLncORF05219,NR,KAF2923953.1,1,66,0,0,1,66,1,66,2.44E-31,127
OsLncORF05220,NR,KAF2923621.1,0.98,50,1,0,1,50,1,50,1.42E-19,92
OsLncORF05270,NR,KAF2924512.1,1,30,0,0,1,30,109,138,3.31E-11,67
OsLncORF05280,NR,KAF2924659.1,1,52,0,0,1,52,30,81,5.70E-27,113
OsLncORF05283,NR,KAF2948832.1,0.949,99,5,0,1,99,1,99,5.42E-54,194
OsLncORF05292,eggNOG,2R5RA,0.782,46,0,1,1,36,43,88,2.47E-12,61
OsLncORF05292,NR,KAF2917823.1,1,36,0,0,1,36,34,69,2.23E-14,76
OsLncORF05294,NR,CAH67280.1,0.789,38,8,0,1,38,882,919,5.72E-08,58
OsLncORF05305,eggNOG,2R66A,0.488,90,38,3,1,88,1,84,2.57E-23,96
OsLncORF05305,NR,EEE67975.1,1,94,0,0,1,94,1,94,1.81E-48,178
OsLncORF05307,eggNOG,2R66A,0.574,54,18,2,1,52,34,84,4.92E-16,73
OsLncORF05307,NR,EAZ05445.1,1,58,0,0,1,58,37,94,2.01E-26,112
OsLncORF05314,NR,KAF2917962.1,1,53,0,0,1,53,1,53,2.70E-25,109
OsLncORF05314,Swiss-Prot,Q0WVW7,0.51,43,20,1,1,42,306,348,8.97E-05,41
OsLncORF05338,NR,KAF2918073.1,1,64,0,0,1,64,21,84,1.20E-35,139
OsLncORF05354,NR,BAD35422.1,0.515,66,16,2,7,59,237,299,2.92E-07,58
OsLncORF05364,eggNOG,2R86B,0.688,45,14,0,1,45,255,299,2.47E-15,71
OsLncORF05364,NR,KAF2918253.1,1,58,0,0,1,58,71,128,1.37E-29,121
OsLncORF05364,Pfam-A,PF22932.1,0.2,30,24,0,1,30,72,101,1.48E-06,42
OsLncORF05375,NR,KAF2918318.1,0.731,67,7,1,1,56,152,218,2.27E-21,98
OsLncORF05378,NR,EAZ41706.1,1,49,0,0,1,49,1,49,1.72E-22,100
OsLncORF05378,Pfam-B,Pfam-B_003581,0,37,36,1,9,44,1422,1458,4.75E-05,40
OsLncORF05380,NR,KAF2918363.1,1,27,0,0,1,27,1,27,3.25E-10,64
OsLncORF05381,NR,KAF0897729.1,0.74,81,18,1,12,89,36,116,2.41E-25,111
OsLncORF05394,NR,BAD05608.1,1,87,0,0,14,100,1,87,7.15E-53,191
OsLncORF05397,NR,EEE51181.1,0.918,49,4,0,61,109,29,77,3.33E-16,87
OsLncORF05398,NR,ABF95869.1,0.516,122,25,3,7,98,34,151,2.29E-18,95
OsLncORF05403,NR,KAF2918587.1,1,27,0,0,1,27,1,27,2.30E-08,62
OsLncORF05404,NR,BAD12856.1,1,72,0,0,1,72,1,72,1.13E-37,145
OsLncORF05408,NR,KAF2944795.1,0.964,85,3,0,1,85,21,105,2.11E-44,166
OsLncORF05417,NR,KAF2944776.1,0.586,46,19,0,1,46,8,53,1.21E-07,58
OsLncORF05424,NR,KAF2918688.1,0.981,54,1,0,1,54,40,93,7.33E-21,97
OsLncORF05450,eggNOG,2S7B3,0.687,32,8,1,1,30,72,103,5.00E-11,57
OsLncORF05450,NR,BAH94202.1,1,31,0,0,1,31,1,31,7.54E-12,69
OsLncORF05450,Swiss-Prot,A2WLS0,0.937,32,0,1,1,30,1,32,1.29E-12,62
OsLncORF05451,eggNOG,2S7B3,0.866,15,2,0,1,15,72,86,1.70E-04,38
OsLncORF05451,Swiss-Prot,A2WLS0,1,15,0,0,1,15,1,15,1.91E-04,38
OsLncORF05452,eggNOG,2ZJ01,0,16,16,0,8,23,162,177,7.62E-04,36
OsLncORF05452,NR,KAI3482721.1,0.9,20,2,0,5,24,229,248,5.10E-04,46
OsLncORF05453,eggNOG,2SF10,0.632,68,25,0,1,68,29,96,1.56E-31,118
OsLncORF05453,NR,EEE58959.1,1,68,0,0,1,68,1,68,2.33E-33,133
OsLncORF05454,eggNOG,2STG3,0.779,59,13,0,1,59,43,101,1.78E-33,123
OsLncORF05454,NR,KAF2913192.1,1,59,0,0,1,59,1,59,7.81E-34,134
OsLncORF05455,eggNOG,2STG3,0,24,24,0,15,38,7,30,2.29E-07,47
OsLncORF05455,NR,KAG0517415.1,0.71,38,11,0,1,38,1,38,2.05E-07,57
OsLncORF05478,Pfam-A,PF13054.11,0.947,19,1,0,7,25,29,47,3.68E-04,33
OsLncORF05484,NR,ABA97601.2,0.767,43,10,0,1,43,1,43,1.14E-12,72
OsLncORF05486,NR,BAD16521.1,0.766,30,7,0,1,30,1,30,2.72E-04,48
OsLncORF05487,NR,BAH94243.1,0.908,98,0,1,1,89,26,123,1.88E-44,166
OsLncORF05489,NR,XP_015616571.1,0.968,32,1,0,1,32,1,32,5.24E-12,71
OsLncORF05490,NR,XP_015616571.1,0.968,32,1,0,1,32,1,32,1.62E-12,71
OsLncORF05493,CDD,pfam13966,0.205,39,25,1,7,39,21,59,6.32E-04,35
OsLncORF05493,NR,EAZ14451.1,0.558,43,11,2,4,38,169,211,3.06E-05,51
OsLncORF05499,NR,BAS85358.1,0.783,37,8,0,1,37,1,37,1.85E-07,57
OsLncORF05500,NR,CAD40511.2,0.812,48,9,0,13,60,513,560,8.92E-15,79
OsLncORF05501,NR,CAD40511.2,0.878,41,5,0,1,41,520,560,4.24E-14,76
OsLncORF05518,NR,KAF2919328.1,1,38,0,0,1,38,50,87,1.68E-13,74
OsLncORF05538,NR,BAD21702.1,0.837,37,6,0,1,37,1,37,3.49E-10,65
OsLncORF05581,NR,KAG8044477.1,0.911,45,4,0,1,45,67,111,1.01E-14,78
OsLncORF05625,NR,KAB8085170.1,0.686,51,15,1,1,51,22,71,1.02E-07,59
OsLncORF05657,NR,BAH94379.1,0.988,89,1,0,1,89,1,89,1.10E-50,185
OsLncORF05659,NR,BAH94379.1,0.976,42,1,0,3,44,120,161,7.54E-20,93
OsLncORF05681,NR,KAF2920596.1,0.988,86,1,0,1,86,1,86,3.96E-47,173
OsLncORF05686,NR,KAF2920682.1,1,107,0,0,1,107,1,107,2.96E-64,224
OsLncORF05689,NR,KAF2920695.1,0.941,34,2,0,1,34,33,66,3.54E-11,68
OsLncORF05714,NR,KAF2920814.1,1,59,0,0,1,59,1,59,7.04E-29,119
OsLncORF05721,eggNOG,2R3HT,0.934,76,5,0,1,76,850,925,3.30E-43,152
OsLncORF05721,NR,KAF7108776.1,0.532,77,34,1,1,75,1,77,9.09E-14,77
OsLncORF05734,NR,KAF2915049.1,1,84,0,0,1,84,1,84,1.39E-47,175
OsLncORF05738,NR,KAF2915051.1,1,84,0,0,1,84,1,84,3.78E-44,165
OsLncORF05747,NR,KAB8094157.1,0.772,44,10,0,2,45,38,81,3.44E-09,62
OsLncORF05815,eggNOG,2R4IJ,0.5,36,17,1,7,42,148,182,4.59E-06,45
OsLncORF05815,NR,KAF2920227.1,1,48,0,0,1,48,1,48,1.29E-24,108
OsLncORF05816,eggNOG,KOG2363,0,25,25,0,11,35,232,256,2.98E-05,41
OsLncORF05854,NR,BAB43994.1,0.666,51,17,0,41,91,206,256,2.36E-09,66
OsLncORF05860,NR,BAD36465.1,1,59,0,0,1,59,1,59,3.01E-29,121
OsLncORF05861,NR,KAF2915598.1,1,92,0,0,1,92,1,92,1.00E-46,173
OsLncORF05869,NR,KAF2936192.1,1,31,0,0,1,31,1,31,4.47E-10,64
OsLncORF05870,NR,KAF2936192.1,1,74,0,0,1,74,68,141,4.19E-40,153
OsLncORF05903,NR,BAD36369.1,1,32,0,0,1,32,44,75,2.23E-09,62
OsLncORF05966,NR,KAF2915828.1,1,75,0,0,1,75,1,75,5.54E-39,149
OsLncORF05981,NR,KAF2916026.1,1,39,0,0,1,39,67,105,2.61E-18,88
OsLncORF05994,NR,BAD26545.1,1,205,0,0,1,205,1,205,3.02E-119,388
OsLncORF05996,NR,KAF2916073.1,1,77,0,0,1,77,1,77,1.58E-38,148
OsLncORF05997,NR,BAD28591.1,0.983,60,1,0,3,62,103,162,7.44E-24,105
OsLncORF05999,NR,EAZ09028.1,1,85,0,0,1,85,1,85,2.43E-42,160
OsLncORF06022,NR,BAC92387.1,0.888,45,5,0,1,45,34,78,2.35E-20,94
OsLncORF06053,NR,EEC81917.1,0.921,38,3,0,4,41,184,221,4.02E-14,76
OsLncORF06089,NR,KAF2916724.1,1,43,0,0,1,43,39,81,5.22E-16,81
OsLncORF06098,NR,BAD34414.1,1,39,0,0,1,39,44,82,5.77E-20,93
OsLncORF06131,NR,KAF2917466.1,1,55,0,0,1,55,2,56,3.25E-26,111
OsLncORF06150,NR,BAH94735.1,1,37,0,0,1,37,54,90,3.78E-16,81
OsLncORF06152,NR,BAH95694.1,0.911,90,8,0,10,99,63,152,5.26E-43,162
OsLncORF06178,NR,KAF2912595.1,1,98,0,0,1,98,1,98,2.19E-55,198
OsLncORF06179,eggNOG,2S7VX,1,30,0,0,1,30,51,80,6.74E-14,66
OsLncORF06179,NR,KAJ0082174.1,1,30,0,0,1,30,1,30,6.62E-10,64
OsLncORF06180,eggNOG,2S7VX,0.955,45,2,0,1,45,51,95,5.09E-24,95
OsLncORF06180,NR,AFK40983.1,0.955,45,2,0,1,45,1,45,7.95E-20,93
OsLncORF06196,NR,KAB8102449.1,0.88,25,3,0,1,25,12,36,1.17E-05,51
OsLncORF06205,NR,KAB8099092.1,0.659,47,13,1,1,47,98,141,6.90E-07,57
OsLncORF06217,NR,BAT10034.1,1,101,0,0,1,101,1,101,1.99E-55,199
OsLncORF06251,NR,XP_015695082.1,0.848,33,5,0,11,43,34,66,8.79E-09,62
OsLncORF06259,NR,EEE63160.1,0.703,108,32,0,1,108,1,108,1.85E-41,159
OsLncORF06276,NR,KAF2913075.1,0.604,48,18,1,4,50,3,50,2.20E-08,60
OsLncORF06282,eggNOG,2R4EQ,0.328,76,48,2,1,73,27,102,6.89E-06,45
OsLncORF06282,NR,KAF2913080.1,1,74,0,0,1,74,1,74,2.98E-47,173
OsLncORF06282,Swiss-Prot,P0CAY4,0.438,73,35,2,7,73,7,79,8.69E-13,65
OsLncORF06289,eggNOG,32RMI,0.157,57,45,1,1,57,144,197,1.32E-13,66
OsLncORF06289,NR,QCE14245.1,0.947,57,3,0,1,57,26,82,2.45E-29,121
OsLncORF06290,eggNOG,2S6GN,0,31,31,0,1,31,245,275,2.70E-14,67
OsLncORF06290,NR,KAJ6312029.1,0.976,42,1,0,1,42,1,42,3.32E-19,91
OsLncORF06291,eggNOG,2S6GN,0,31,31,0,1,31,125,155,9.40E-12,59
OsLncORF06291,NR,XP_040944804.1,0.967,31,1,0,1,31,100,130,4.82E-11,66
OsLncORF06293,NR,KAD2393245.1,0.958,24,1,0,1,24,1,24,2.59E-08,58
OsLncORF06294,NR,KAE9610908.1,0.769,39,7,1,1,37,1,39,4.63E-04,47
OsLncORF06296,CDD,CHL00206,0.74,27,7,0,1,27,1821,1847,4.58E-06,40
OsLncORF06296,eggNOG,2QRDV,0,27,27,0,1,27,1708,1734,3.12E-06,43
OsLncORF06296,NR,YP_010232131.1,0.962,27,1,0,1,27,1,27,2.50E-05,50
OsLncORF06296,Pfam-B,Pfam-B_028429,0.74,27,7,0,1,27,188,214,6.19E-06,41
OsLncORF06296,Swiss-Prot,A0ZZ78,0.74,27,7,0,1,27,1843,1869,7.75E-05,40
OsLncORF06299,NR,KAH0447454.1,0.96,25,1,0,1,25,1,25,1.41E-06,53
OsLncORF06300,CDD,PLN00074,0.871,39,5,0,1,39,1,39,7.24E-17,72
OsLncORF06300,eggNOG,2QWJF,0,39,39,0,1,39,11,49,1.12E-16,74
OsLncORF06300,NR,WP_284309656.1,0.948,39,2,0,1,39,1,39,3.07E-16,82
OsLncORF06300,Swiss-Prot,Q6ENJ1,0.948,39,2,0,1,39,1,39,2.33E-19,82
OsLncORF06302,NR,MCL7043329.1,0.838,31,5,0,8,38,83,113,1.25E-09,63
OsLncORF06303,NR,KAF8013313.1,0.938,49,3,0,13,61,2,50,3.12E-18,89
OsLncORF06304,NR,YP_009561603.1,0.774,31,7,0,2,32,267,297,2.17E-08,59
OsLncORF06311,CDD,CHL00036,0.309,42,28,1,1,42,144,184,9.90E-13,60
OsLncORF06311,eggNOG,2R2ZC,0.809,42,8,0,1,42,1,42,4.27E-17,75
OsLncORF06311,NR,AIW45598.1,1,42,0,0,1,42,42,83,6.26E-19,90
OsLncORF06311,Pfam-A,PF02392.21,0.857,35,4,1,1,35,195,228,1.13E-08,47
OsLncORF06311,Swiss-Prot,Q6ENG3,1,42,0,0,1,42,144,185,4.75E-22,90
OsLncORF06340,NR,KAF2913384.1,1,74,0,0,1,74,1,74,1.02E-37,147
OsLncORF06341,NR,KAF2913384.1,1,75,0,0,1,75,1,75,1.04E-38,149
OsLncORF06346,NR,KAF2913440.1,1,57,0,0,1,57,1,57,8.89E-33,130
OsLncORF06350,NR,KAF2913456.1,1,34,0,0,1,34,1,34,4.89E-08,59
OsLncORF06351,NR,KAF2913456.1,1,35,0,0,1,35,1,35,1.51E-08,60
OsLncORF06354,eggNOG,2RRQ6,0.436,55,31,0,1,55,3,57,4.22E-16,73
OsLncORF06354,NR,ABA92847.2,0.581,55,23,0,1,55,824,878,2.17E-13,75
OsLncORF06354,Pfam-A,PF13966.11,0.256,39,28,1,10,48,101,138,3.30E-05,38
OsLncORF06354,Pfam-B,Pfam-B_158075,0,31,31,0,16,46,20,50,2.50E-06,44
OsLncORF06356,NR,RRT82566.1,0.8,35,7,0,9,43,83,117,5.45E-08,59
OsLncORF06372,NR,KAF2913529.1,1,41,0,0,1,41,1,41,4.68E-20,93
OsLncORF06427,eggNOG,2SAFZ,0.913,23,2,0,1,23,88,110,6.11E-08,48
OsLncORF06432,NR,AAM08775.1,1,29,0,0,1,29,1,29,7.02E-09,60
OsLncORF06437,NR,KAF2913633.1,1,38,0,0,1,38,36,73,1.31E-18,89
OsLncORF06441,NR,KAF2913725.1,1,101,0,0,1,101,1,101,3.80E-56,200
OsLncORF06442,NR,EEC67003.1,0.961,26,1,0,1,26,52,77,3.88E-07,56
OsLncORF06476,NR,BAD82749.1,0.781,32,7,0,1,32,186,217,8.32E-07,57
OsLncORF06479,NR,XP_051209785.1,0.947,19,1,0,1,19,83,101,2.69E-04,48
OsLncORF06486,NR,EAY95628.1,0.657,35,12,0,4,38,163,197,1.30E-05,51
OsLncORF06525,NR,GMD09045.1,0.866,30,4,0,4,33,92,121,6.90E-06,53
OsLncORF06543,NR,KAF2914394.1,0.878,33,4,0,3,35,152,184,4.39E-11,68
OsLncORF06566,NR,KAF2914703.1,1,67,0,0,1,67,26,92,7.86E-33,131
OsLncORF06585,NR,KAB8110443.1,0.533,45,21,0,1,45,156,200,3.60E-05,51
OsLncORF06586,eggNOG,2SYED,0.378,37,23,0,1,37,25,61,8.16E-04,37
OsLncORF06598,NR,KAB8113777.1,0.805,36,5,1,1,36,1,34,3.60E-05,52
OsLncORF06617,eggNOG,2QWJH,0,92,64,2,1,64,38,129,4.34E-22,91
OsLncORF06617,NR,KAF2909134.1,1,69,0,0,1,69,1,69,2.82E-42,158
OsLncORF06620,NR,KAF2909195.1,1,39,0,0,1,39,1,39,3.06E-16,82
OsLncORF06635,NR,XP_052135816.1,0.941,51,3,0,1,51,1,51,3.08E-24,108
OsLncORF06723,eggNOG,2R3BS,0.636,33,11,1,13,44,85,117,6.49E-04,38
OsLncORF06729,NR,KAF2910219.1,1,43,0,0,1,43,30,72,2.18E-21,97
OsLncORF06736,eggNOG,340FS,0.285,56,37,1,7,62,375,427,5.16E-04,39
OsLncORF06758,NR,KAF2910302.1,1,25,0,0,1,25,32,56,2.53E-06,53
